id;name;ioc;filesid;num;other;create_date
1;mobile Fish;Home Loan Account Table Computer;5808;45924;seamless Metal deposit;Producer
2;Implementation Electronics Officer;methodology Albania;43194;2306;Namibia;Steel zero administration
3;Multi-channelled Licensed;grey Cambridgeshire;59241;46676;HDD;Table Small Frozen Sausages Planner
4;envisioneer Music Public-key;infomediaries;12203;60999;backing up Salad;Digitized invoice
5;convergence;Mayotte;18485;3131;synthesizing Views e-enable;Credit Card Account National Awesome
6;Aruba;software scale interactive;82873;58675;Specialist Home Loan Account;Plastic
7;Car Industrial deliverables;orange Books;81546;19884;monitor 1080p Checking Account;world-class Frozen IB
8;Highway Ergonomic;moratorium moratorium;72960;59129;tangible Mississippi;Frozen bus
9;hard drive Robust Networked;Poland;42754;11089;partnerships;Outdoors
10;Harbor Montana;Corporate Phased relationships;75555;20306;Brand;neutral Salad
