id;pid;title;icon;href;state;csort;notice;target
1;92969;virtual deposit;Squares mint green e-business;Ghana back-end National;31800;90682;contextually-based;synergies copying
2;86073;Games;Iraq Bedfordshire;Concrete 24/7 Directives;32320;21876;Oklahoma facilitate;Engineer
3;96244;Quality-focused;card Plastic;Computers Personal Loan Account Berkshire;5147;3305;ubiquitous;Public-key Granite
4;48945;Designer Persistent;Handmade 24/7 Re-contextualized;web-enabled invoice withdrawal;53577;81643;optical;installation
5;18651;Refined Rubber Gloves Algerian Dinar Clothing;open-source turn-key;Sausages;69093;39757;Cambridgeshire hacking;bricks-and-clicks Concrete Global
6;87733;Enhanced deposit parsing;Borders content-based;Tasty Customer Human;63310;18870;even-keeled Saint Helena Pound;Internal AI optical
7;64203;Unbranded Cheese Dynamic;Alabama transform;invoice Home Gloves;54873;48561;Ports Manager Fish;Networked
8;32539;navigate;program alarm;Nevada;9367;50881;withdrawal Ergonomic;Strategist target
9;89204;withdrawal cross-platform Borders;Libyan Dinar CSS;sensor;28077;57200;calculate;Chips
10;94045;Response Human;back up Factors;architectures;96665;57229;Facilitator Incredible functionalities;compressing
