id;merchantid;location;num;creator;createdate;modifier;modifierdate;modifiernum;logicdelete;other
1;bluetooth policy;Timor-Leste e-commerce;Inverse Health JBOD;Outdoors;Holy See (Vatican City State);Data Tasty Steel Pants Licensed Steel Shirt;Manor;62750;true;zero defect drive Practical
2;convergence monitor;Music;B2C systematic;program;Gorgeous Steel Salad Associate;Fantastic whiteboard;lavender;94996;true;Cloned Massachusetts Facilitator
3;Communications Underpass Personal Loan Account;parse;Intuitive;quantifying Phased connecting;Automated;architect;lavender;77958;true;primary invoice
4;EXE;Personal Loan Account Chile foreground;connect Zimbabwe Dollar;Forward;Pre-emptive Reduced;Kids Customer;Practical AI didactic;12951;false;Tasty Fresh Pizza Jewelery monitoring
5;Russian Federation Gorgeous ROI;Computers Saint Helena Pound;Borders;Integration;Bond Markets Units European Composite Unit (EURCO);Facilitator;Cambridgeshire;48058;true;Internal Louisiana
6;Ouguiya Utah;circuit;optical deposit;Pizza Fish next-generation;UIC-Franc;Generic El Salvador Colon US Dollar purple;XSS RSS Outdoors;82581;false;copying
7;reboot;Jewelery;synthesizing Bedfordshire;black;Money Market Account;New York Concrete expedite;Solomon Islands;77984;false;radical
8;Italy;copying benchmark Sausages;Licensed Directives Baht;Paradigm;application;hard drive;proactive Checking Account;4574;true;Strategist Yemeni Rial Shoals
9;Rubber navigate;Small Fresh Gloves;Buckinghamshire compress;Grocery Ball Wells;partnerships Terrace Hat;calculating conglomeration bypassing;Kroon deposit systemic;95086;true;Grocery
10;Interactions applications invoice;compress methodologies;e-services;program override red;payment efficient RSS;Vietnam Mouse;SDD;77659;false;Summit Saint Martin Kids
